sasdate,^GSPC,^HSCE,^HSI,^KS200,^N225,^STOXX50E
1998-04-15,1119.319946,3023.879883,11371.09961,53.93999863,16299.2998,0
1998-04-16,1108.170044,3022.790039,11187.7998,52.27000046,15883.76953,0
1998-04-17,1122.719971,3012.23999,11001.2998,51.90000153,15703.7998,0
1998-04-20,1123.650024,3039.159912,11151.59961,50.40999985,15697.09961,0
1998-04-21,1126.670044,2972.719971,10968.2998,50.90000153,15825.66992,0
1998-04-22,1130.540039,2930.98999,10977.5,50.11999893,15761.54004,0
1998-04-23,1119.579956,2862.649902,10918.90039,48.41999817,15761.69043,0
1998-04-24,1107.900024,2897.860107,10879.90039,48.20999908,16011.24023,0
1998-04-27,1086.540039,2826,10593.7002,47.52999878,15649.9502,0
1998-04-28,1085.109985,2804.02002,10678.61035,47.04999924,15395.42969,0
1998-04-29,1094.619995,2756.209961,10471.15039,48.77999878,15395.42969,0
1998-04-30,1111.75,2708.969971,10383.67969,49.38999939,15641.25977,0
1998-05-01,1121,2722.040039,10563.67969,49.38999939,15601.09961,0
1998-05-04,1122.069946,2692.379883,10439.41992,45.77999878,15601.09961,0
1998-05-05,1115.5,2584.429932,10153.66016,45.77999878,15601.09961,0
1998-05-06,1104.920044,2522.51001,10109.13965,44.00999832,15243.83984,0
1998-05-07,1095.140015,2501.620117,9971.929688,44.43000031,15143.03027,0
1998-05-08,1108.140015,2579.219971,10060.37988,43.63000107,15149,0
1998-05-11,1106.640015,2585.389893,10096.37012,42.27000046,15381.90039,0
1998-05-12,1115.790039,2509.919922,9841.509766,41.18000031,15322.48047,0
1998-05-13,1118.859985,2401.22998,9469.290039,41.90000153,15343.80957,0
1998-05-14,1117.369995,2482.649902,9591.950195,42.84000015,15307.69043,0
1998-05-15,1108.72998,2494.280029,9538.389648,41.70000076,15242.86035,0
1998-05-18,1105.819946,2485.300049,9411.969727,42.31999969,15384.46973,0
1998-05-19,1109.52002,2503.659912,9449.110352,42.65999985,15551.65039,0
1998-05-20,1119.060059,2582.909912,9549.179688,43.27000046,15652.9502,0
1998-05-21,1114.640015,2561.459961,9670.450195,42.52000046,15845.25,0
1998-05-22,1110.469971,2509.570068,9555.980469,41.36999893,15801.65039,0
1998-05-25,1110.469971,2476.090088,9544.530273,38.52000046,15783.12012,0
